Motor speed mean (rpm),Motor speed rms (rpm),Motor speed freq (Hz),Motor speed amp (rpm),Motor speed phase (deg),Flow mean (lpm),Flow rms (lpm),Flow freq (Hz),Flow amp (lpm),Flow phase (deg),Inlet pressure mean (mmHg),Inlet pressure rms (mmHg),Inlet pressure freq (Hz),Inlet pressure amp (mmHg),Inlet pressure phase (deg),Outlet pressure mean (mmHg),Outlet pressure rms (mmHg),Outlet pressure freq (Hz),Outlet pressure amp (mmHg),Outlet pressure phase (deg),P_in,P_out,delta_P,Amp_Delta_P,Phase_Delta_P
8.96831E-44,9.16028E-58,0.119679939,3.97582E-58,89.74149133,1.408304179,1.236541213,1.978329763,1.425811752,-134.7528104,-9.339677419,17.10403367,2.006524441,19.72764777,92.9601022,-24.14339136,29.72268116,2.007153802,36.80975031,79.34350707,-1.01874657966792+19.7013258900628i,6.80687460483034+36.1749108637702i,7.82562118449826+16.4735849737074i,18.23785483,64.59038538
8.96831E-44,9.16028E-58,0.119679939,3.97582E-58,89.74149133,2.350703521,1.884300267,1.987055904,2.368027216,-48.73786883,-27.66844131,32.72662446,2.018175228,38.70895977,168.6862904,-59.86561899,59.13550956,2.018509695,72.47075314,163.0466568,-37.9567573936042+7.59395380987432i,-69.3213569329678+21.131955256106i,-31.3645995393636+13.5380014462317i,34.16160985,156.6533703
20000.20415,43.36362632,1.986117081,55.0160049,-101.5436034,1.581411317,1.283473819,1.986393607,1.615555085,-48.31743176,-11.81092545,18.21426237,2.01445853,21.2390292,177.9822753,45.56411082,39.09405615,2.010612719,49.76133204,158.0222087,-21.2258606400389+0.747797782678276i,-46.1451257005188+18.6230379031477i,-24.9192650604799+17.8752401204694i,30.66747431,144.3471371
20000.43355,53.95970363,1.986117081,69.39519463,-164.1959578,2.66746086,2.078578451,1.984079041,2.546357597,-120.732163,-35.44408533,39.89194822,2.00879872,50.10087748,85.85490315,7.096250808,71.29372739,2.005798274,92.57853045,78.58905635,3.62141649285729+49.9698235634882i,18.3161596548939+90.7485680083477i,14.6947431620366+40.7787444448595i,43.34560503,70.1832204
24999.71083,54.3440098,1.986117081,68.48129574,-80.66049751,1.641204414,1.280118535,1.9838279,1.575917902,-34.60587492,-12.56368319,18.63272972,2.009242776,22.11726166,-150.831386,84.68858801,43.76152277,2.006987578,56.47496694,-158.5265668,-19.3125538114567-10.7795421392688i,-52.5548930057326-20.6737783624793i,-33.2423391942759-9.8942362232105i,34.68355555,-163.424911
25000.02811,69.50051797,1.986117081,89.31071073,-179.3152962,2.829146507,2.134054404,1.981889079,2.568267029,-145.2122661,-39.16354839,42.96910766,2.010856028,54.10720163,74.04687507,39.48630491,80.44603793,2.008261375,104.5555274,66.09230642,14.8714093944468+52.0233644754419i,42.3726275947497+95.584615572336i,27.5012182003029+43.5612510968941i,51.51601304,57.73484142
30000.07826,57.74215171,1.984126984,71.25065422,-173.4474472,1.748576187,1.293970597,1.988843075,1.661527387,-126.739952,-13.73262821,19.06768056,2.0010005,23.41938531,93.78115549,125.2847631,49.08063016,2.0002305,64.50402758,74.97846552,-1.54440825528738+23.3684062657257i,16.7182872379066+62.299827010156i,18.262695493194+38.9314207444303i,43.0021112,64.86876731
30000.7191,71.61279138,1.986117081,91.10297775,13.76829246,3.020698302,2.23037449,1.986519661,2.786317776,68.66553791,-44.20920206,46.82510628,2.012703084,59.00297803,-76.06594425,74.18277635,87.89839022,2.015293435,111.8998563,-85.95583514,14.2082109009431-57.2667282027841i,7.89178184033953-111.621223829105i,-6.31642906060357-54.3544956263209i,54.72027477,-96.62849881
35000.5597,46.47464685,1.986117081,57.17033546,-77.44053804,1.821298586,1.319280143,1.987552916,1.682240326,-80.33247109,-14.92895753,19.83547056,1.989654819,23.48780187,136.6624392,161.2682519,52.61798355,1.992215508,67.41971657,118.1953385,-17.0832186590595+16.1195681359987i,-31.8544044267657+59.4198207751972i,-14.7711857677062+43.3002526391985i,45.75040773,108.8362508
35000.31401,61.06491521,1.986117081,77.29748261,166.2287601,3.147478546,2.292911843,1.989211422,2.960710804,-160.5579143,-47.84489668,49.80194507,1.989302362,61.54603798,51.58450656,106.4766291,92.92172103,1.988554597,116.4696755,46.88631151,38.2422263008455+48.2228879155542i,79.6009896881759+85.0227484309399i,41.3587633873304+36.7998605153857i,55.36042849,41.6617853
