Time,Time (ms),Motor speed mean (rpm),Motor speed rms (rpm),Motor speed freq (Hz),Motor speed amp (rpm),Motor speed phase (deg),Flow mean (lpm),Flow rms (lpm),Flow freq (Hz),Flow amp (lpm),Flow phase (deg),Inlet pressure mean (mmHg),Inlet pressure rms (mmHg),Inlet pressure freq (Hz),Inlet pressure amp (mmHg),Inlet pressure phase (deg),Outlet pressure mean (mmHg),Outlet pressure rms (mmHg),Outlet pressure freq (Hz),Outlet pressure amp (mmHg),Outlet pressure phase (deg),Q current filtered mean (A),Q current filtered rms (A),Q current filtered freq (Hz),Q current filtered amp (A),Q current filtered phase (deg),aortic pressure mean (mmHg),aortic pressure rms (mmHg),aortic pressure freq (Hz),aortic pressure amp (mmHg),aortic pressure phase (deg),purge pressure mean (mmHg),purge pressure rms (mmHg),purge pressure freq (Hz),purge pressure amp (mmHg),purge pressure phase (deg),AC Valve,DC Valve
Mon Feb 27 2023,46356,8.96831E-44,9.16028E-58,0.119679939,3.97582E-58,89.74149133,1.408304179,1.236541213,1.978329763,1.425811752,-134.7528104,-9.339677419,17.10403367,2.006524441,19.72764777,92.9601022,-24.14339136,29.72268116,2.007153802,36.80975031,79.34350707,-2.6795E-06,0.000112325,1.127255641,1.62809E-05,144.2805005,-0.000600802,1.67308E-05,83.41691742,3.02174E-06,-13.83884322,0.127700902,0.002135296,83.41691742,0.002045442,-152.5727118,0.25,0
Mon Feb 27 2023,86490,8.96831E-44,9.16028E-58,0.119679939,3.97582E-58,89.74149133,2.350703521,1.884300267,1.987055904,2.368027216,-48.73786883,-27.66844131,32.72662446,2.018175228,38.70895977,168.6862904,-59.86561899,59.13550956,2.018509695,72.47075314,163.0466568,-5.2517E-06,0.000113146,0.779597359,1.61835E-05,-116.4175948,-0.000602405,1.71703E-05,2.876445428,3.09453E-06,137.1885891,0.116313026,0.001320036,83.41691742,0.001513832,6.874398264,0.5,0
Mon Feb 27 2023,129709,20000.20415,43.36362632,1.986117081,55.0160049,-101.5436034,1.581411317,1.283473819,1.986393607,1.615555085,-48.31743176,-11.81092545,18.21426237,2.01445853,21.2390292,177.9822753,45.56411082,39.09405615,2.010612719,49.76133204,158.0222087,0.592645997,0.014646354,1.986117081,0.018476878,47.8908437,-0.000598597,1.84042E-05,1.413846058,3.33599E-06,167.7684772,0.157710822,0.004215491,83.41691742,0.004493437,-177.4480061,0.25,0
Mon Feb 27 2023,169936,20000.43355,53.95970363,1.986117081,69.39519463,-164.1959578,2.66746086,2.078578451,1.984079041,2.546357597,-120.732163,-35.44408533,39.89194822,2.00879872,50.10087748,85.85490315,7.096250808,71.29372739,2.005798274,92.57853045,78.58905635,0.57845819,0.01784817,1.986117081,0.022885992,-12.59905148,-0.0006001,9.49581E-06,0.313597434,1.47613E-06,-44.84901636,0.165753707,0.000823345,83.41691742,0.000752947,13.53407194,0.5,0
Mon Feb 27 2023,212713,24999.71083,54.3440098,1.986117081,68.48129574,-80.66049751,1.641204414,1.280118535,1.9838279,1.575917902,-34.60587492,-12.56368319,18.63272972,2.009242776,22.11726166,-150.831386,84.68858801,43.76152277,2.006987578,56.47496694,-158.5265668,0.810333713,0.018298625,1.986117081,0.022886897,69.37894312,-0.000604709,2.1184E-05,0.834169174,2.78087E-06,175.8450059,0.196366032,0.00309245,83.41691742,0.003241197,-176.7838191,0.25,0
Mon Feb 27 2023,252411,25000.02811,69.50051797,1.986117081,89.31071073,-179.3152962,2.829146507,2.134054404,1.981889079,2.568267029,-145.2122661,-39.16354839,42.96910766,2.010856028,54.10720163,74.04687507,39.48630491,80.44603793,2.008261375,104.5555274,66.09230642,0.789782817,0.023183597,1.986117081,0.029518153,-28.93682991,-0.000621042,4.07608E-05,0.149225255,7.833E-06,-7.267335299,0.184874349,0.002215943,83.41691742,0.002446227,9.432715156,0.5,0
Mon Feb 27 2023,295633,30000.07826,57.74215171,1.984126984,71.25065422,-173.4474472,1.748576187,1.293970597,1.988843075,1.661527387,-126.739952,-13.73262821,19.06768056,2.0010005,23.41938531,93.78115549,125.2847631,49.08063016,2.0002305,64.50402758,74.97846552,1.042577022,0.019667654,1.984126984,0.023580289,-23.67574376,-0.000673621,4.56342E-05,2.032520325,1.2207E-05,57.61597656,0.199012538,0.001817554,0.083584086,0.001619263,8.116004728,0.25,0
Mon Feb 27 2023,335916,30000.7191,71.61279138,1.986117081,91.10297775,13.76829246,3.020698302,2.23037449,1.986519661,2.786317776,68.66553791,-44.20920206,46.82510628,2.012703084,59.00297803,-76.06594425,74.18277635,87.89839022,2.015293435,111.8998563,-85.95583514,1.022673171,0.024311897,1.986117081,0.030467706,164.3316092,-0.000664429,5.16969E-05,2.876445428,1.31921E-05,165.186409,0.169251703,0.002938387,83.41691742,0.003096439,4.456828138,0.5,0
Mon Feb 27 2023,378879,35000.5597,46.47464685,1.986117081,57.17033546,-77.44053804,1.821298586,1.319280143,1.987552916,1.682240326,-80.33247109,-14.92895753,19.83547056,1.989654819,23.48780187,136.6624392,161.2682519,52.61798355,1.992215508,67.41971657,118.1953385,1.276431384,0.016360955,1.986117081,0.018983821,73.26408978,-0.000626052,6.36455E-05,83.41691742,2.94091E-05,15.40741574,0.198037475,0.002303822,83.41691742,0.002378854,-167.5947262,0.25,0
Mon Feb 27 2023,418713,35000.31401,61.06491521,1.986117081,77.29748261,166.2287601,3.147478546,2.292911843,1.989211422,2.960710804,-160.5579143,-47.84489668,49.80194507,1.989302362,61.54603798,51.58450656,106.4766291,92.92172103,1.988554597,116.4696755,46.88631151,1.252289577,0.020955299,1.986117081,0.025790286,-43.59376941,-0.000649599,5.96822E-05,3.08951546,2.22969E-05,86.03262366,0.158277956,0.002343882,83.41691742,0.002422676,5.890364157,0.5,0
