Pr (mmHg),dPdw (umHg/rpm),dPdQ (mmHg/lpm),dPdQdw (umHg/lpm.rpm),HQ R2,Ir (mA),didw (uA/rpm),didp (mA/mmHg),didpdw (nA/mmHg.rpm)
117.6747891,8.704908983,-21.02662797,-0.458936896,0.97095452,1069.333221,41.23494251,0.862350165,-22.76733726
110.4283696,8.539613631,-21.01243883,-0.329851717,0.996065744,994.4334095,37.56694036,1.019352756,-16.05511487
98.85139049,6.896243392,-22.21795727,-0.601092869,0.988747124,1028.98222,40.05117643,0.929395034,-34.48504356
97.77979968,7.90762009,-23.27194341,-0.496179321,0.993324466,975.3855011,37.2564206,0.867654946,-30.68858766
106.9703437,8.111417574,-22.66037167,-0.291267262,0.995526145,1023.624018,34.91144332,0.830196253,-19.85310767
94.88862078,7.083301916,-20.63987795,-0.337674097,0.967328483,1022.941758,34.04603123,0.919826523,-84.68280861
90.72381298,4.840611559,-21.22002304,-0.659679051,0.988455704,1040.909411,36.04265627,1.027738289,-59.61168534
120.4865841,9.368152857,-17.13670008,0.156552296,0.989246642,998.3070783,35.70436552,0.908633108,-9.08688612
115.5934058,8.424138604,-15.68185716,0.185647101,0.9967626,1011.947637,33.99547049,0.954530714,1.596962811
90.42690517,6.938456825,-34.20089374,-0.951118369,0.957148942,1091.866689,37.02145568,0.743171139,-19.84546364
73.0807631,6.938456825,-31.82309782,-0.951118369,0.957148942,999.3130499,37.02145568,0.792784798,-19.84546364
111.0192368,7.553655657,-17.91001862,-0.352425826,0.994521666,934.7615224,33.68390851,0.895756885,-13.25374719
111.1732604,7.433422164,-16.48343362,-0.375179853,0.992785932,914.9678689,31.23187801,1.075359103,-46.65210013
86.09121841,6.237394361,-21.92599892,-0.331008498,0.959808026,997.5679471,36.7806012,0.587553558,-47.91162899
68.60915344,10.46286137,-35.27227088,0.018652925,0.986776561,996.2089565,36.34561764,0.629112645,-25.21677523
46.78471516,4.237573557,-24.22261109,-0.338103491,0.937687966,970.1844444,32.72669639,0.298660666,-44.87438374
60.479608,3.097120908,-13.76965955,-0.253283603,0.983480638,965.2497703,36.11631519,-0.136513708,-24.59308445
72.89167662,4.749691102,-16.18392103,-0.109022323,0.994294728,937.287927,33.2023724,0.566256902,-34.71411467
44.457148,2.848660429,-20.94664842,-0.58744357,0.97076676,962.1400892,34.59692507,-0.004469245,-67.3033091
98.56710927,7.462923046,-20.63055622,-0.345849103,0.993280057,1152.215079,32.0176827,0.621587273,-68.47560389
108.6692725,8.330382438,-20.05750879,-0.303295628,0.993983289,1070.629655,23.83207996,0.936435318,-110.6177074
115.9784074,9.160526093,-23.95348478,-0.404416054,0.994082102,1083.490097,34.90431146,0.911208618,-46.20944127
119.2437702,9.241504864,-19.65864434,-0.255631096,0.983178246,1036.034103,24.93668927,0.933307463,-128.9767121
110.5490194,9.082406779,-23.53784634,-0.360084216,0.992614226,1062.231026,33.63170512,0.902406573,-42.61345551
